LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
mbiriiwu;arachide;NCS
mbirtooye;soleil matinal;NCS
mbohuuji;petits pigeons sauvages;NCP
mbohuuru;petit pigeon sauvage;NCS
mbo'en;poetes chanteurs;NCP
mboojo;poete chanteur;NCS
mboonjokku;estomac;NCS
mbooru;fievre aphteuse;NCS
mbooteeji;sacs de cuir;NCP
mbooteewu;sac de cuir;NCS
mborho;feuille de citrouille;NCS
mborhooji;feuilles de citrouille;NCP
mbororo'en;peuls nomades;NCP
mbororoojo;peul nomade;NCS
mbortu;agnelle;NCS
mboynaawu;silure;NCS
mboqoowal;oiseau pecheur;NCS
mbuddon;plis de la peau à la base du petit doigt quand le point est fermé;NCP
mbulwuldi;terrain sablonneuse;NCS
mbuubu;taon;NCS
mbuubuutu;soufflet de forgeron;NCS
mbuuduudu;guepe maconne;NCS
mbuulooje;chapeaux de paille;NCP
mbuuloore;chapeau de paille;NCS
mbuuluulu;petite abeille logeant dans les creux des arbres;NCS
mbuuxu;fesse;NCS
nde;lorsque/ quand;C
ndiqje;poteau central soutenant la charpente;NCP
ndiqkiri;endroit ou le sol est tres dur;NCS
ndiqwal;poteau central soutenant la charpente;NCS
ñebbere;haricot;NCS
ñeekam;bouillon gras;PPS
Neekural;grette blanche;PPS
neekurarre;leucodermie;NCS
ñeerude;calebasse pour puiser;PPS
Nefgo ;éprouver la repulsion , du dégout;VIA
Nefre;repugnance;PPS
Nelal;message de la commission;PPS
Neldugo;envoyer quelque chose à quelqu'un;VIA
Nelgo;faire des commissions;VIA
nelneltiral;envoyer l'un à l'autre;PPS
Neltugo;envoyer quelqu'un une deuxième foi;VIA
ñemmbugo;imiter quelqu'un;VIA
ñeñgo;décorer;VIA
ñeñgo;orner;VIA
ñexxugo;éperonner;VIA
Nervizgo;etre aplati ( nez);VIA
Nervizingo;aplatir;VIA
Nesgo;etre sur le point de ;VIA
Newre;paume de main;NCP
Newsugo;etre graiseux;VIA
ñezgo;puiser de l'eau;VIA
Nezzo;homme, personne;NCS
ñeylitaago;se mettre à crier en interrompant quelqu'un;VIM
ngalaawu;pois de terre;NCS
ngalalayhi;arbre au bois tres resistant;NCS
ngalalayje;arbres au bois tres resistant;NCP
ñivgo;construire;VIA
ñiddingo;salir;VIA
ñidditirgo;perdre sa saleté;VIA
ñiddugo;etre sale;VIA
ñifgo;éteindre;VIA
Nii;ainsi , comme cela;C
ñiixe;dents;NCP
ñiirde;lisse d'un metier à tisser;NCS
Niireego;avoir le nez droit;VIP
ñiiri;coucous;NCS
Niisa;apparition des pléiades;U
Niisgo;etre lourd , peser;VIA
Niisnugo;poids, lourdeur;VIA
ñiixere;dent;NCS
Niijango;peser pour quelqu'un;VIA
Niijugo;peser;VIA
ñikkindirgo;serrer;VIA
ñikkootirgo;etre trop serrer;VIA
ñilkitaago;se chatouiller soi meme;VIM
ñilkugo;chatouiller;VIA
ñilmugo;etre plein de vers;VIA
ñippugo;s'éteindre;VIA
Nirgal;forme droite du nez;PPS
Nisvaago;aspirer par le nez;VIM
Nisvitaago;renifler;VIM
Nisvordu;tabatiére;PPS
Nisvorga;grande tabatière;PPS
ñivtaago;reconstruire;VIM
ñiqaago;critiquer;VIM
ñiqaago;dénigrer;VIM
Niqgi ;confiance trahie;NCS
ña'mbizgo;mal articuler;VIA
ñaamtugo;accaparer;VIA
ñobborde;froissement;PPS
ñobborgol ;pli;PPS
ñobborli;plis;PPP
ñobbugo;plier;VIA
ñodaago;plisser la peau/froncer le visage;VIM
Noddaandu;appel;PPS
Noddinoowo;Muezzin;PPS
Noddugo ;appeler ,;VIA
Nofru;oreil;NCS
Nokkango;ramasser pour quelqu'un;VIA
Nokkitaago;ramasser ou extraire une deuxiéme fois;VIM
Nokkugo;ramasser;VIA
Nokkuure;endroit place , lieu;NCS
ñolgo;pourir;VIA
ñolnere;pourriture;PPS
ñolsugo;etre chétif;VIA
ñoqngugo;tendre timidement;VIA
ñonndol;defaut d'articulation;PPS
ñoobtugo;se rétrecir;VIA
Nooda ;crocrodile;NCS
Noogas;vingt;NUS
Noogasre;pièce de 100fcfa;NUS
Noogaswol;billet de 100fcfa;NUS
Noonaago;etre coloré;VIM
Noonde ;couleur;PPS
Nooneego;etre colorié;VIP
Noongo;colorier/colorer;VIA
Nootaago;repondre ;VIM
Nootitaago;repondre une deuxiéme fois;VIM
ño'gol;couture;PPS
Noxaago;etre tres difficile à comprendre, mysterieux;VIM
noxaaki;caractere mysterieux;PPS
ñoraago;retrousser;VIM
ñorsinaago;se blottir;VIM
ñorweenga;saleté;PPS
ñorwugo;etre sale;VIA
Nubnitaago;renifler pour chercher d’où provient l'odeur;VIM
Noye;comment combien;AVM
ñoqngaago;avoir de la répulsion physique pour quelque chose;VIM
ñoqngizgo;etre extremement pauvre;VIA
Nufaye;intention, projet de;U
Nubnaago;sentir;VIM
Nufaago;projetter de ;VIM
ñuufaago;atteindre l'age de la puberté;VIM
Nufanaago;obèir constament à;VIM
Nufgo;s'enfoncer, s'enlisser;VIA
Nuftugo;désenliser;VIA
ñukkaago;etre caché;VIM
ñukkugo;cacher;VIA
NuKrugo;penser, supposer;VIA
Numango;penser à quelque chose pour quelqu'un;VIA
Numgo;pesnser, reflechir;VIA
ñumñumtugo;parler à mi-voix;VIA
Numtaago;réfléchir/ essayer de se rappeler;VIM
Nusgo;faire de la peine;VIA
Nuuhu;Noé;NP
ñuuñgo;parler tout seul en chuchotant;VIA
ñuuñu;petite fourni noire;NCS
ñuuñuuje;grosses fournis noires;NCP
ñuuñuwal;grosse fourni noire;NCS
ñuuxi;petites fournis noires;NCP
Nuuru;lumière;U
Nuuzgo;etre veridique;VIA
Nuwammbir;novemebre du calendrier julien;U
ñuzaago ;se ramasser;VIM
Nuzfa;sperme;U
Nuzzinki;foi, croyance, confiance;PPS
ñuqaago;avoir l'intention de faire quelque chose de mal;VIA
okolooje;petites mares artifcielles;NCP
okoloore;petite mare artifcielle;NCS
oktombir;octobre;U
oldiri;ceinture de perles;NCS
omndirde;calebasse servant de couvercle;PPS
omndirze;calebasses servant de couvercle;PPP
omndirzum;couvercle;PPS
omndugo;couvrir;VIA
omtango;enlever le couvercle pour quelqu'un;VIA
omtirzum;ce qui sert à enlever le couvercle;PPS
omtugo;enlever le couvercle;VIA
oñcugo;ressembler un peu;VIA
onde;"limite de l'entrée d'une case; seuil";NCS
oñeego;etre pauvre;VIP
oñgo;forcer;VIA
oññinaago;etre assis à terre;VIM
onze;limites de l'entrée des cases;NCP
oogeeji;personnes grandes et fortes;NCP
oogeeru;personne grande et forte;NCS
ooho;oui;AVM
oolaago;grogner;VIM
oolalaaji;oiseaux aux plumages jaunes;NCP
oolalaaru;oiseau au plumage jaune;NCS
oolzitgo;devenir jaune;VIA
oolzugo;jaunir;VIA
ooncoga;terme injurieux employé à l'adresse de quelqu'un qui déféque trop près de vous;NCS
oorgo;partir au paturage le matin;VIA
oortugo;retourner au paturage;VIA
oow;interjection pour appeler un cheval;I
oppeego;avoir la fievre;VIP
orñugo;briser sans les détacher;VIA
osaago;se déplacer légerement quand on est assis;VIM
ottaango;gémissement;PPS
ottugo;ahaner;VIA
oyaanii;s'emploie pour désigner quelqu'un dont on a oublié ;PR
oqngugo;faire changer de direction;VIA
Paajam;vin de palme;NCS
paasinnja;grand plat émaillé;U
Paatuuru;chat ;NCS
Paazawu;léopard;NCS
padala;cervicapre des roseaux;NCS
padali;cervicapres des roseaux;NCP
paddinirze;pommeaux;PPP
Pakumru;oiseau de taille moyenne;NCS
Pal pal;quelques-uns;ID
Palasa;humiliation;U
Palaywu;sac en cuir;NCS
Palemaaku;débrouillardise;NCS
Palepalemaajo;habile;NCS
Pallaazi;lézards;NCP
Palle;trames;NCP
Pampameeru;très longue trompette droite;NCS
Pampamwu;arachide dont la graine n'est pas encore mure;NCS
Papalapal;juste en face;ID
Paranti;assiette émaillée;U
Pareewal;porte;NCS
Parmala;sorte de gilet;U
Parparnaago;pousser quelqu'un à se dépecher;VIM
Parparnugo;faire presser;VIA
Pataawol;corde en cuir;NCS
patakaare;piece de  2 Fcfa;NCS
Patakri;bouillie épaisse;NCS
Pavaawal;papier fort;NCS
Pazamaari;sable ou argile déposé sur le sol ;NCS
Pazkeejo;revendeur de parfumerie;NCS
Pazkeeku;metier de revendeur;NCS
Payam Payam;d'une manière désordonné;ID
Peetel;petit;PPS
Peetum;petit, insuffisant;PPS
Pelciye;variété de tissu;U
Pelenkete;assiette;U
Pelpelewu;poisson plat;NCS
Pentellu;anneaux de taenia;NCS
Penndo;surnom donné à une femme qui s'appelle maryama;NCS
Perwaajo;jeune fille prete à marier;NCS
Perwaaku;jeunesse;NCS
pezirze;crochet;PPP
fezgo;peser;VIA
Picapicanaago;gaspiller sa fortune;VIM
Piisaaze;manières hypocrites;NCP
Piisaazemaajo;hypocrite;NCS
Pilpil;puce;U
Pinal;pneu;U
Pirliyel;petit oiseau;NCS
Piti piti;manière ;AVM
Piti-piti;moyen;AVM
Poocaago;avoir une hernie scrotale;VIM
Poociire;hernie scrotale;PPS
Pooke;énergies intérieures;NCS
Puccu;cheval;NCS
Pukaraajo;disciple;NCS
Puupuunaago;grandir rapidement;VIM
Puupuungo;faire grandir rapidement;VIA
Puusuuri;fort (taureau ou bélier );NCS
xaadaago;refuser de faire;VIM
xaakzugo;grandir (entre 2 et 4 ans);VIA
xaamnugo;obtenir une bonne récolte;VIA
xaamze;récoltes;NCP
xaartugo;passer par-dessus;VIA
xaawgo;etre le temps de la récolte;VIA
xafgo;suinter;VIA
xaggaago;etre indépendant;VIM
xaggaare;insoumission;PPS
xakkugo;macher;VIA
xakkugo;croquer;VIA
xallugo;etre au point de;VIA
xamgo;demander;VIA
xamtixamtingo;poser constament des questions;VIA
xamtugo;réclamer;VIA
xargo;faire par incision des cicatrices faciales;VIA
xartaago;se vaccinner soi meme;VIM
xattaago;traverser;VIM
xattingo;faire traverser;VIA
xavvaago;franchir;VIM
xavvingo;faire franchir;VIA
xaqngitaago;etre tiré de la misère;VIM
xeefaago;grandir et grossir;VIM
xeeggo;puiser;VIA
xeemtugo;aller revoir ;VIA
xeernoowo;passeur;PPS
xeevgo;marcher à pas de tortue;VIA
xeewgo;voir de loin;VIA
xeewnaago;appeler;VIM
xeewnaandu;appel;PPS
xeewnaandu;appel;PPS
xeewxeewtirgo;se voir réciproquement;VIA
xeeqtingo;faire monter au ciel;VIA
xeftugo;prendre dans ses bras pour lever;VIA
xekkitgo;haleter;VIA
xelaago;entrevoir;VIM
xella;vache aux cornes droites;NCS
xelvitaago;monter sur;VIM
xebbaago;etre sur le point de devenir;VIM
xeqaago;se dresser sur la pointe des pieds (h., chevre);VIM
xiikgo;etre puissant;VIA
xiixam;sang;NCS
xilaago;etre égoiste;VIM
xixal;os;NCS
xixango;presser pour quelqu'un;VIA
xi'rugo;passer par;VIA
xi'go;presser;VIA
xommbal;tige;NCS
xoqkolde;petite élevation de terrain;NCS
xooggo;porter de l'eau;VIA
xoolde;élévation de terrain au dessus d'une plaine;NCS
xooraago;venir de;VIM
xoorgo;faire venir de;VIA
xoortaago;sortir de l'eau;VIM
xoxre;ruse;NCS
xukkinaago;faire la boss;VIM
xullitaago;apparaitre à l'improviste;VIM
xummanaago;se lever en direction de;VIM
xulmere;braise;NCS
xumxugo;envisager;VIA
Quraan;coran;U
xuufgo;mousser;VIA
xuukre;bosse;NCS
xuureewo;veille houe;NCS
xuvvugo;marcher sur la pointe des pieds;VIA
Raamtaago;etre assis seul;VIM
Raamtugo;faire rester seul;VIA
Raavgo;contaminer, infecter;VIA
daaze;cordes;NCP
Raaytugo;dire des bétises;VIA
Raddaago;prendre en charge;VIM
Rafeego;avoir faim;VIP
Ragare;fin;NCS
Raggingo;finir, terminer;VIA
Ragginirgo;se terminer;VIA
Raggizingo;pousser à bout;VIA
Ra'iiya;les gens de;U
Rakkabjo;acharné;NCS
Rakkabku;acharnement;NCS
Rakkugo;etre capable;VIA
Ramminango;racourcir , abreger pour;VIA
Rammingo;faire raccourcir;VIA
Rammitingo;se racourcir;VIA
Rammugo;etre court ;VIA
Rawaandu;chien;NCS
Rawseeru;chien;NCS
Razaago;attacher un vau au pied de sa mère pendant la traite;VIM
Raytugo;etre très vif;VIA
Ra'yu;avis personnel;U
Reedango;etre enceinte de ;VIA
Reedgo;concevoir;VIA
Reednugo;rendre enceinte;VIA
Reedu;estomac;NCS
Reeduujo;femme enceinte;PPS
Reekgo ;partager;VIA
Reenango;garder pour quelqu'un;VIA
Reendugo;attendre ensemble;VIA
Reengo;attendre;VIA
Reennugo;rendre enceinte;VIA
Reenreentirgo;s'attendre mutuellement;VIA
Reentiive;modeste;PPP
Reentingo;proteger quelqu'un;VIA
Reentoraago;se protéger au moyen de;VIM
Reeta ;moitié;U
Reeta bee Reetita;trois quarts;U
Reetaare;moitié d'un noix de kola;NCS
Reetita;quart;U
Reeja;lame de rasoir mécanique;U
Reggaago;faire demi tour;VIM
Reggere;coup sur la tete avec une phalange replié;NCS
Reggindirgo;se frapper mutuellement;VIA
Reggo;sautiller;VIA
Reggugo;donner un coup sur la tete;VIA
Re'go;finir  ;VIA
Reke;canne à sucre;U
Rekgo;sautiller;VIA
Rellere;manque ;PPS
Rellugo;manquer;VIA
Remgo;gratter le sol avec la houe;VIA
Remnaago;se faire circoncire;VIM
Remnordu ;cérémonie de circoncision;PPS
Remnugo;circoncire;VIA
Remtaago;gratter la terre une dexiuème fois;VIM
Remtirde;terrain de culture;PPS
Rendere;œuf;NCS
Re'nirde;lieu de paturage des chevaux;NCS
Rennugo;faire attendre;VIA
Re'nugo;paitre;VIA
Reqgo;aller à l'école coranique la nuit;VIA
Re're;fin;NCS
Resdugo;mettre ensemble;VIA
Resgo;poser;VIA
Resirde;tombe, lieu de sépulture;PPS
Resnugo;mettre en reserve pour quelqu'un;VIA
resirde;lieu ou on met en reserve;PPS
Reetitgo;diminuer;VIA
Rewgo;suivre;VIA
Rewnugo;faire suivre;VIA
Rewrugo;servir dieu;VIA
Rewzingo;mettre au féminin;VIA
Rewzitgo;etre peureux;VIA
Reqnge-reqnge;brulant;PPS
Reqngisgo;etre brulant;VIA
Riba;gain , bénéfice;U
Ribaago;faire des bénéfices;VIM
Ribaaji;gains , bénéfices;NCP
Riftango;décharger pour quelqu'un;VIA
Riftugo;décharger;VIA
Riggaago;tonner;VIM
Riggango;roulement;VIA
Rigima;fraude;U
Riita ;défaut;U
Riiwdugo;chasser ensemble;VIA
Riiwgo;chasser;VIA
Riiwre;diarrhée;PPS
Riizaal;nom d'arbre;U
Riizaalo;feuille d'arbre ;NCS
Rijjugo;etre apre au gou;VIA
Rikiciiji;duplicités;U
Rikiwol;tromperie;NCS
Rimgo;Avoir des petits;VIA
Rimorzaago;cesser de produire;VIM
Rimrimnugo;produire sans arret;VIM
Rimtingo;faire produire de nouveau;VIA
Rimtugo;produire de nouveau;VIA
Rimzineego;etre affranchi;VIP
Rimzingo;affranchir un esclave;VIA
Rimzugo;devenir libre;VIA
Risku;faveur divine qui donne de la chance à l'homme;U
Riskugo;réuissir, prosperer;VIA
Rimnditgo;décharger;VIA
Ronango;hériter pour quelqu'un;VIA
Rondugo;hériter ensemble;VIA
Rongo;heriter de quelqu'un;VIA
Ronnugo;faire hériter;VIA
Ronron;hérité;PPS
Ronrontirgo;hériter l'un de l'autre;VIA
Rontugo;recevoir en succession;VIA
Rovtannde;action de se lever brusquement;PPS
Roqnga;protection magique;NCS
Rookaago;mendier;VIM
Rooko;mendicité;U
Roontaago;déposer ce qu'on portait sur la tete;VIM
Roondanaago;porter pour quelqu'un;VIM
Roondugo;mettre sur la tete de quelqu'un;VIA
Roondaago;mettre sur sa tete;VIM
Rooytugo ;brulant;VIA
Rooytugo;etre vif;VIA
Roxgo;s'agiter en cadence;VIA
Rosdu;homme gros et fort;NCS
Rottango;retirer la pate de mil pour quelqu'un;VIA
Rottugo;retirer de la marmite la pate de mil;VIA
Rovaago;se lever brusquement;VIM
Rowani;l'année dernière;AVT
Rowtani;il y'a deux ans;AVT
Rowtitani;il y'a trois ans;AVT
Roqqitaago;se lever de la position accroupie;VIM
Roqqingo;faire s'accoupir;VIA
Rubaaniqkaaku;état d'un ascète;NCS
Rubaaniqkeejo;ascète;NCS
Rubbitgo;fienter;VIA
Rubbugo ;ceuiller;VIA
Rubbunde;fumier;PPS
Ru'bindirgo;s'effrayer mutuellement;VIA
Rubu;dot;U
Ru'bugo;effrayer;VIA
Rubu'u;quart;U
Ruccugo;grappiller;VIA
Rudu;souvent;U
Rufango;renverser pour quelqu'un;VIA
Rufgo;renverser;VIA
Rufirde;terrain ou se répandent les eaux de ruissellement;PPS
Rufnugo;provequer une fausse couche;VIA
Rufrufnugo;renverser;VIA
Ruggaago;gronder sévérement;VIM
Ruggugo;arracher;VIA
Rukkingo;n'en plus pouvoir;VIA
Rukkiningo;etre cause qu'on ne puissse plus manger et boire;VIA
Rukkinirgo;ne plus pouvoir manger ou boire;VIA
Rukkungo;digestion pénible;PPS
Rukkungooji;Digestions pénibles;PPP
Ruknugo;s'incliner ;VIA
Ruknuuji;parties importante d'une obligation religieuse;NCP
Ruknuwol;partie importante d'une obligation religieuse;NCS
Rukuu'eeje;inclinaisons du corps;NCP
Ruku'eere;inclinaison du corps;NCS
Rukuuho;feuille de papaye;NCS
Rummoodu;anus;NCS
Runnduuji;saignées profondes;NCP
Runnduwol;saignée profonde;NCS
ruppitaago;se lever ;VIM
rusiya;pot de vin;U
rusmitaago;etre tendre;VIM
rusmitango;faire bien cuire pour quelqu'un;VIA
rusmitodaago;etre entièrement tendre;VIM
rustitgo;faire bien cuire;VIA
rusvaago;perdre quelqu'un de cher;VIM
rusvaare;perte de quelqu'un de cher;PPS
rutaango;hennissement;VIA
rutgo;hennir pour avoir sa nourriture;VIA
rutrunugo;hennir sans arret;VIA
ruuditingo ;faire perdre completement la tete;VIA
Ruuhu;esprit;U
Ruuhuudji;esprits;NCP
Ruujaago;sauter;VIM
ruuje;piques, lances;NCP
Ruulde ;nuage;NCS
Ruumgo;passer la saison des pluies;VIA
Ruumirde;paturage;PPS
Ruumtugo;atteindre une nouvelle saison de pluie;VIA
Ruumtunde;terrain laisé en jachère;PPS
ruutu;descendence;U
ruuuru;toujours;AVT
Ruuzaago;esquiver;VIM
Ruuzgo;faire esquiver;VIA
ruuyditgo;perdre completement la tete;VIA
ruuygo;etre dispersé;VIA
Ruvvere;fruit de palmier;NCS
ruwal;pique, lance;NCS
ruwan-gooro;jus de kola;U
ruwe;piques, lances;NCP
Ruzzitaago;se retourner;VIM
Ruzzitango;retourner quelque chose pour quelqu'un;VIA
Ruzzitgo;retourner;VIA
ruydugo;etre completement emporté par le vent;VIA
ruyruytugo;chanceler;VIA
saa'a;moment de la journée;U
saa'aaji;moments de la journée;NCP
saa'aaji;chances;NCP
saa'aare;instant;NCS
saabeere;champ surtout d'arachide;NCS
saabulu;savon;U
saadawa;danse avec du chant;U
saafaandu;cynhyène;NCS
saafango;traire une vache pour quelqu'un;VIA
saafannde;traire mouvement alternatif des mains ;PPS
saafgo;traire;VIA
saafi;magie;U
saafiiji;amulettes contenants les produits magiques;NCP
saafiiru;amulette contenant les produits magiques;NCS
saafootirgo;se serrer les mains;VIA
saafsaaftingo;se peigner constamment la barbe avec les doigts;VIA
saaftugo;se peigner;VIA
saageeji;pattes;NCP
saagewol;favoris;NCS
saagirde;mante religieuse;NCS
saa'go;produire un bourdennement sourd;VIA
saagooje ;tubercules cometibles;NCP
saagoore;tubercule cometible;NCS
saaguuje;formes des masques utilisés par les chasseurs;NCP
saaguwal;forme de masque utilisé par les chasseurs;NCS
saahaago;donner un cadeau;VIM
saahanaago;etre clair pour;VIM
saahannde;lécon;PPS
saahinango;exposer clairement à;VIA
saahingo;exposer clairement ;VIA
saahugo;répéter;VIA
saa'i;instant;U
saa'iida;chance;U
saa'iidaare;chance;NCS
saa'iire;instant;NCS
saajibiije;chemises à manche longue;NCP
saajibiire;chemise à manche longue;NCS
saajo;nom donné à un garcon née après les jumeaux;NP
saakaago;se disperser;VIM
saakgo;disperser;VIA
saalaago;passer la saison des pluies;VIM
saali;nom propre d'un homme;NP
saalihaaku;vertu ;NCS
saalihi'en;vertueux;NCP
saalihiijo;vertueux;NCS
saaliire;panier;NCS
saalingo;faire passer;VIA
saalitaago;passer une deuxième fois;VIM
saalitingo;faire plus que ce dont on a besoin;VIA
saamgo;perdre ses feuilles ou ses grains;VIA
saamni-saamningo;galoper constamment;VIA
saanootirgo;se saluer;VIA
saa'o;grondement sourd;PPS
saarar ;mince;NCS
saare;enclos familliale;NCS
saargo;avoir la diarrhée;VI
saaro;parent;NCS
saaro'en;parents;NCP
saarooji;parents;NCP
saasiire;aminal sauvage très mèchant;NCS
saastaago;prendre;VIM
saastaago;voler;VIM
saasuure;pierre ponce;NCS
saataago;crier fort;VIA
Saata-fiijo;qui trouve tout difficile;NCS
saata-hooreejo;tete dure;NCS
Saata-hoore'en;tetes dure;NCP
Saata-junngoojo;avare;NCS
Saata-verndeejo;courageux, intrepide, insensible a la douleur /qui n'accepte aucun conseil/ (contexte religieux) qui n'a pas la craintede Dieu, sans foi ni loi;NCS
saata-vernxe'en;courageux, intrepides, insensibles à la douleur /qui n'acceptent aucun conseil/ (contexte religieux) qui n'ont pas la crainte de Dieu, sans foi ni loi;NCP
saatiijo;valet de pied;NCS
saatiire;quartier habité par les valets des pieds;NCS
saatingo; durcir;VIA
saatugo;etre dur;VIA
saavnugo;faire galoper;VIA
saawaago;etre enveloppé;VIM
saawawre;rosée;NCS
saawdu;paquet;NCS
saawgo;plier;VIA
saawgo;empaqueter;VIA
saawgo;renfermer;VIA
saawgo;enveloper;VIA
saawtugo;deballer;VIA
saazgo;crever;VIA
saaznugo;tuer sans égorger rituellement;VIA
saaygo;disparaitre;VIA
saaygo;se dissiper;VIA
saayi ;thé;U
saaynaago;se balancer;VIM
saaynugo;balancer;VIA
saaqgo;errer;VIA
sababu;cause;U
sababuuji;causes;NCP
sabakaaje;musèlières;NCP
sabakaare;musèlière;NCS
sabbibingo;etre la cause de;VIA
sabbinango;accorder une longue vie;VIA
sabbitaago;remettre à plus tard;VIM
sabbitingo;faire remettre à plus tard;VIA
sabbungo;longue vie;NCS
sadaka;aumone;U
sadakaaji;aumones;NCP
saza-kuselji;libellules ;NCP
saddaaji;sortes des tissus;NCP
saddawol;sorte de tissu;NCS
sadkugo;faire l'aumone;VIA
sa'du;nom propre d'un homme;NP
safaaji;hauberts;NCP
safaare;haubert;NCS
safgo;tirer vers le haut avec une corde;VIA
safiyaari;crépuscule;NCS
saftugo;avoir suffisament de;VIA
saginaahi;chardon;NCS
saggitango;pousser quelqu'un à faire quelque chose;VIA
saggitgo;ne plus retenir;VIA
saggugo;garder;VIA
saginaaji;chardons;NCP
sago;souhait de malheur;NCS
sagooji;souhaits de malheur;NCP
sahaago;etre sot;VIM
sahaare;sottise;PPS
sahi'en;sots;PPP
sahiijo;sot;PPS
sajaago;barrer la route;VIM
saj'uuji;proses rimées;NCP
saj'uuwol;prose rimée;NCS
sakaago;filtrer;VIM
sakatummba;jupe;U
sakdeere;herbinette;NCS
sakiikeejo;frère ou soeur ayant meme père et meme mère;NCS
sakiike'en;frères ou soeurs ayant meme père et meme mère;NCP
sakitaago;etre à l'arrière;VIM
sakitingo;mettre en retard;VIA
sakitoraago;etre en retard d'une certaine manière;VIM
sakitoraago;s'arreter en dernier lieu;VIM
sakkaago;etre près du bas ;VIM
sakkaare;vetement de dessous;NCS
sakkere;irrègularité de dentition;NCS
sakkinango;lancer à;VIA
sakkingo;jeter;VIA
sakkitto;fin;NCS
sakko;à plus forte raison ;AVM
sakkonta;à fortiori;AVM
sakkooma;encore plus;AVM
sakkorambe;encore moins;AVM
sakkugo;faire l'aumone;VIA
saklaago;etre gené;VIM
saklanaago;s'inquiéter au sujet de;VIM
sakleego;etre égare;VIP
saklere;ennui;PPS
saklitaago;se tirer d'embarras;VIM
saklitgo;tirer d'embaras;VIA
saklugo;gener;VIA
sakmitaago;perdre de la saveur;VIM
sakmitgo;faire perdre de la saveur d'un aliment;VIA
sakraawu;chatain clair;U
salaago ;refuser;VIM
salaama;cadeaux distribues aux griots;U
salaaman;paix;U
salaamnaago;distribuer des cadeaux;VIM
salaare;refus;PPS
salaasa;mardi;U
salaatu;prière;U
salala;travail;U
salanaago;refuser à quelqu'un ;VIM
salannde;nombre de refus;PPS
saldorgo;depasser les forces;VIA
salitaago;refuser à nouveau;VIM
salkitgo;ajouter un peu de liquide dans un autre liquide;VIA
sallabi;mouchoir de tete;U
sallabiije;mouchoirs de tete;NCP
sallabiire;mouchoir de tete;NCS
sallikeeje;terrains de prière;NCP
sallikeere;terrain de prière;NCS
sallimaago;renvoyer quelqu'un;VIM
sallimanaago;obéir ;VIM
salmitorgo;avoir des cauchemars et crier;VIA
salnugo;habituer à;VIA
salorgo;depasser les forces;VIA
saman;prix;U
sammeere;panicule de sorgho;NCS
sammingo;saupoudrer;VIA
samngo;galop;NCS
samngooji;galops;NCP
samnugo;faire galoper;VIA
sampeeraaje;peaux des chèvres ou des moutons très blanche;NCP
sampeerawal;peau de chèvre ou de mouton très blanche;NCS
sampere;déchet;NCS
sampitgo;briser en petit morceau;VIA
samsamo;feuille morte;NCS
saqsaqtugo;errer;VIA
sammbo;nom propre d'un homme;NP
samzingo;attacher de l'importance;VIA
sanaa'a;métier;U
sanaa'a;profession;U
sanaa'a;occupation habituelle;U
sanaa'aaji;métiers;NCP
sanaa'aaji;professions;NCP
sanaa'aji;occupations habituelles;NCP
sancaago;se demeler les cheveux;VIM
sancugo;demeler les cheveux;VIA
sandal;bois de santal;U
sango;se perdre;VIA
sango;s'égarer;VIA
sañgo;tresser des objets en vannerie;VIA
sanjitaago;changer;VIM
sanjugo;changer;VIA
sanjugo;échanger;VIA
saññirde;lieu où l'on tisse;PPS
sannji;monnaie;U
sannu;salut;U
saññugo;tisser;VIA
saññugo;etre agiter;VIA
santootirgo;rencontrer par hasard;VIA
sanugo;saluer;VIA
sannda;surnom de umaru;NCS
sappaago;montrer quelqu'un du doigt;VIM
sappaajo;camarade;NCS
sappaajo;compagne;NCS
sappaaku;camarederie;NCS
sappa'en;camarades;NCP
sappingo;montrer  ;VIA
sappo;les mains vides;NCS
sappo;dix;NUS
sappo;dixième;NUS
sappo e go'avo;onzième;NUS
sapporaago;montrer du doigt d'un certain manière;VIM
sappordu ;index;PPS
saraakiijo;courtisan;NCS
sarfanjeejo;charpantier;NCS
sarfanjeejo;menuisier;NCS
sarfanje'en;charpentiers;NCP
sarfanje'en;menuisiers;NCP
sarfugo;donner la paie à un ouvrier;VIA
sarga;chainette d'argent;U
sargaaji;chainettes d'argent;NCP
sargalde;herbe courte, aux racines tenaces;NCS
sarginaago;etre à l'écart;VIM
sarginaago;etre isolé;VIM
sargugo;déranger;VIA
sargugo;empecher;VIA
sargugo;retenir;VIA
sari'a;loi religieuse;U
sariya;loi religieuse;U
sarki;chef;U
sarki'en;chefs;NCP
sarkifaada;chef des conseillers;U
sarkimaata;femme chargé de la surveillance des jeunes filles;U
sarkinpaawa;chef des bouchers;U
sarraago;se blesser;VIM
sarraago;se faire mal;VIM
sarrimaajo;bagareur;PPS
sarrima'en;bagareurs;PPP
sarrindirgo;se blesser mutuellement;VIA
sarrugo;faire du mal;VIA
sarsar'en;sergents;NCP
sarsarjo;sergent;NCS
sarsarku;grade de sergent;NCS
sarwaago;demander conseil à;VIM
sarwaago;consulter;VIM
sarwingo;teindre en bleu foncé;VIA
sarzootirgo;s'engager par contrat;VIA
sarzugo;prescrire;VIA
sasvuuji;rangées;NCP
sasgo;glicer;VIA
